index,Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Private Or Public,Industry,Sector,Revenue,Competitors
0,Sr Data Scientist,$137K-$171K ,3.1,"Healthfirst
3.1","New York, NY","New York, NY",1001 to 5000 employees,1993,Nonprofit Organization,Non Profit,Insurance Carriers,Insurance,Unknown / Non-Applicable,"EmblemHealth, UnitedHealth Group, Aetna"
1,Data Scientist,$137K-$171K ,4.2,"ManTech
4.2","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public, Public,Research & Development,Business Services,$1 to $2 billion (USD),None
2,Data Scientist,$137K-$171K ,3.8,"Analysis Group
3.8","Boston, MA","Boston, MA",1001 to 5000 employees,1981,Private Practice / Firm,Non Profit,Consulting,Business Services,$100 to $500 million (USD),None
3,Data Scientist,$137K-$171K ,3.5,"INFICON
3.5","Newton, MA","Bad Ragaz, Switzerland",501 to 1000 employees,2000,Company - Public, Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),"MKS Instruments, Pfeiffer Vacuum, Agilent Technologies"
4,Data Scientist,$137K-$171K ,2.9,"Affinity Solutions
2.9","New York, NY","New York, NY",51 to 200 employees,1998,Company - Private, Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee"
5,Data Scientist,$137K-$171K ,4.2,"HG Insights
4.2","Santa Barbara, CA","Santa Barbara, CA",51 to 200 employees,2010,Company - Private, Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,None
6,Data Scientist / Machine Learning Expert,$137K-$171K ,3.9,"Novartis
3.9","Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public, Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),None
7,Data Scientist,$137K-$171K ,3.5,"iRobot
3.5","Bedford, MA","Bedford, MA",1001 to 5000 employees,1990,Company - Public, Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),None
8,Staff Data Scientist - Analytics,$137K-$171K ,4.4,"Intuit - Data
4.4","San Diego, CA","Mountain View, CA",5001 to 10000 employees,1983,Company - Public, Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),"Square, PayPal, H&R Block"
9,Data Scientist,$137K-$171K ,3.6,"XSELL Technologies
3.6","Chicago, IL","Chicago, IL",51 to 200 employees,2014,Company - Private, Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,None
